"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460"
47,2,54,2,11,2,0,1,2,0,3,7,25,14,20,2,1,3,174,9,3,0,3,1,3,13,11,3,4,1,4,0,1,1,0,3,15,1,12,7,11,13,4,3,5,2,0,3,1,3,14,5,8,1,79,13,1,0,1,2,0,1,3,1,4,2,14,21,55,76,2,3,0,1,0,2,0,0,3,0,2,2,2,1,1,2,4,0,1,1,0,2,5,3,5,1,0,0,1,1,2,1,1,2,1,0,3,2,1,24,2,1,3,3,0,1,3,2,2,3,2,3,1,0,0,3,0,0,0,4,3,0,1,1,2,2,0,1,1,2,1,0,1,0,1,0,2,0,1,0,2,1,0,2,0,1,1,1,2,1,0,0,1,0,0,0,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,2,1,2,2,3,0,1,0,0,1,1,1,0,1,3,1,1,1,2,2,2,2,0,1,3,1,2,0,2,1,1,1,1,2,0,0,2,2,0,1,1,1,2,0,1,0,0,1,3,1,1,1,0,3,2,0,1,1,0,0,0,1,1,1,0,3,2,2,1,0,2,0,0,4,1,1,1,0,0,1,3,2,0,1,0,2,0,0,1,2,1,3,0,3,0,1,0,1,0,2,2,2,1,1,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,1,1,0,1,0,1,1,1,1,1,4,1,0,0,1,0,1,2,0,0,2,0,2,3,0,0,0,1,1,1,1,0,3,1,0,0,1,2,1,1,3,0,0,0,0,0,2,1,0,2,3,0,0,0,0,1,2,3,3,0,1,0,0,0,1,0,2,1,1,0,0,1,0,1,1,2,1,0,0,0,0,1,1,0,1,1,1,1,1,2,0,0,0,1,0,0,0,2,2,1,4,0,0,0,0,1,2,2,2,1,0,0,1,3,2,2,1,1,1,1,0,0,0,0,2,0,2,1,2,0,2,0,1,0,0,0,3,1,1,0,0,3,2,1,0,2,0,3
28,4,29,3,7,1,0,2,2,6,7,3,13,7,17,0,6,3,79,5,3,1,1,2,2,3,12,1,3,1,5,1,0,1,0,2,14,2,19,4,11,5,3,2,1,4,0,1,0,0,27,4,7,4,38,3,1,1,3,1,1,1,2,1,3,0,7,20,17,34,9,0,0,2,1,1,5,2,3,2,1,0,1,1,1,1,0,0,1,1,5,3,15,3,4,1,3,1,2,4,2,1,1,1,0,1,2,2,0,7,0,1,0,1,3,1,0,0,1,1,2,0,0,0,0,0,0,1,2,0,5,4,1,2,0,3,2,1,2,1,2,0,0,3,1,1,2,2,8,1,1,3,2,2,2,2,0,0,1,0,1,1,0,2,0,1,1,0,1,1,1,0,4,1,2,0,0,0,1,3,0,0,2,2,2,2,0,0,0,2,1,1,0,1,1,1,1,0,0,0,2,0,0,1,1,1,1,0,0,1,2,2,2,1,0,0,3,1,0,1,1,0,0,1,0,2,2,1,1,0,2,1,1,4,1,0,0,0,0,2,2,1,0,1,2,1,1,3,1,0,2,3,0,0,1,0,1,1,2,3,4,1,0,3,0,1,2,1,1,1,2,1,1,1,1,1,1,0,1,1,4,0,0,0,2,0,0,2,0,2,1,0,0,1,3,4,3,1,1,1,2,3,3,2,1,3,0,1,2,1,1,1,0,2,3,2,3,1,1,0,1,2,3,1,1,1,1,1,0,1,1,0,1,0,0,2,1,1,0,1,0,0,3,4,5,2,0,0,0,1,1,2,1,2,0,0,1,1,0,1,0,1,1,0,0,2,0,0,1,0,2,1,1,1,2,1,1,0,1,2,0,1,0,2,0,0,1,1,3,1,0,5,0,0,2,2,1,1,0,1,2,0,1,3,1,1,1,0,1,1,0,0,1,2,1,0,1,1,0,2,0,2,1,3,2,1,1,0,0,1,1,1,1,1,0,0,0,2,0,0,1,0,1,2,0,2,1,1,1,1,0,2,0,0,1,2,2,0,1,0
26,3,15,1,3,2,0,0,0,0,6,4,9,5,19,1,3,1,35,2,2,2,1,1,9,3,8,3,2,0,3,1,2,0,0,1,14,3,21,2,7,2,1,0,3,2,0,1,3,2,31,9,20,10,30,9,1,0,1,1,1,0,6,4,17,3,6,14,19,14,3,3,0,4,1,0,1,1,10,1,7,0,1,2,2,2,1,0,2,2,5,6,38,16,3,2,2,2,2,0,0,1,1,3,2,0,2,1,3,2,0,1,4,0,2,2,4,1,0,0,12,0,0,1,1,0,0,0,1,0,1,3,1,0,2,0,0,2,1,1,0,4,1,0,1,4,1,0,11,1,1,0,1,1,0,0,0,1,2,0,2,2,0,0,0,0,1,2,1,0,1,4,0,2,0,1,0,1,0,2,0,0,0,1,0,1,2,0,1,1,1,3,1,2,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,2,3,2,1,1,0,3,1,3,2,1,2,2,0,1,2,0,2,0,1,0,0,0,2,0,3,1,3,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,2,0,2,0,0,2,1,1,0,1,4,0,0,1,0,1,1,1,2,0,1,2,0,2,1,2,0,0,2,1,1,2,1,2,1,2,0,0,0,3,1,0,2,0,0,0,0,0,2,1,0,1,0,0,2,0,2,0,2,2,1,2,0,0,1,0,1,1,0,4,1,0,1,0,2,1,4,0,1,1,0,2,1,0,0,0,3,0,1,2,1,0,1,2,0,0,2,2,3,3,0,3,2,1,2,1,1,1,0,0,1,1,2,0,0,0,1,2,0,0,0,0,2,3,1,1,2,1,2,1,1,2,0,1,2,0,2,0,2,0,2,1,3,1,2,1,2,0,2,3,0,2,0,1,1,4,1,2,1,1,0,2,0,1,1,0,0,0,1,1,2,1,0,0,1,0,0,1,2,4,0,1,1,0,0,0,2,1,2,1,0,1,3,0,0,0,1,2,0
46,2,15,0,3,1,2,1,1,1,11,1,9,2,19,0,3,2,14,0,0,0,1,0,8,1,13,4,7,1,0,3,0,1,2,0,19,7,21,1,12,6,1,0,2,1,0,0,1,1,50,7,26,9,24,10,1,1,0,0,0,0,7,2,22,6,14,25,8,3,1,1,0,1,1,1,6,4,13,2,5,0,4,0,0,0,1,2,2,0,4,7,55,14,5,2,2,1,1,1,2,0,0,1,1,0,12,2,8,1,0,1,1,2,3,0,3,1,2,3,13,1,2,0,0,2,2,0,2,0,0,0,1,0,0,1,1,3,2,2,1,1,1,1,0,1,0,0,26,2,0,0,3,1,0,2,0,0,0,1,0,1,0,2,0,0,3,1,0,0,2,0,0,4,0,1,0,1,1,2,1,1,0,2,0,3,0,1,0,2,0,0,0,2,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,3,0,2,3,2,0,2,2,1,0,0,1,0,1,1,2,2,0,1,0,0,0,3,0,1,0,0,0,0,0,1,1,3,0,3,0,3,2,3,1,2,0,0,0,1,3,2,0,2,0,0,2,1,1,1,3,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,1,0,3,3,0,1,3,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,4,1,2,0,1,1,0,2,2,1,1,2,0,1,1,1,0,0,2,1,0,0,5,0,1,3,1,0,0,0,0,4,0,2,0,2,0,4,2,0,0,1,1,0,0,1,1,1,2,0,1,0,0,0,1,4,1,2,1,0,2,0,1,3,1,0,1,0,4,2,2,1,4,1,0,0,1,2,4,1,0,1,1,1,2,0,2,0,2,2,0,0,1,2,0,2,0,2,2,0,1,0,1,1,1,1,1,0,3,1,2,1,0,1,1,1,2,0,0,0,2,2,1,2,0,0,0,1,0,0,1,1,2,0,1,0,1,0,0,0,2,1,0,1,2,3,0,0,2,1,2,0,0,0,2,0,0
28,4,8,1,0,0,0,1,0,1,12,2,8,0,24,2,1,1,8,2,1,2,0,3,7,1,21,1,3,0,0,0,0,2,2,1,7,4,19,0,14,1,1,4,0,1,0,0,1,0,43,5,20,7,14,8,0,1,1,4,6,4,6,2,18,7,4,25,4,3,0,0,2,1,4,0,3,0,8,4,5,1,1,1,2,0,3,0,0,1,1,8,37,18,5,0,1,2,1,0,2,0,2,1,0,0,9,0,6,0,1,2,0,0,1,0,0,1,0,3,16,0,0,3,1,2,2,3,1,1,0,1,1,0,2,1,1,1,2,0,0,2,0,0,1,0,2,0,18,1,0,1,2,1,0,1,0,2,1,1,3,0,0,2,0,2,1,0,2,0,1,0,3,0,2,0,0,2,1,0,2,2,2,2,2,4,0,2,0,4,2,1,1,3,0,1,1,1,0,0,2,3,2,0,0,0,1,0,0,3,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,3,0,2,0,2,2,1,1,0,1,0,2,2,2,0,0,2,1,2,0,1,1,0,0,2,0,0,2,1,1,1,0,0,0,1,0,2,1,0,0,0,1,1,0,2,1,1,2,3,1,1,1,0,0,0,3,1,2,1,0,0,0,3,0,3,0,1,1,1,1,0,1,2,2,0,1,1,0,0,1,1,1,0,2,0,2,0,2,1,3,1,1,0,4,4,0,0,0,1,0,2,0,2,1,0,0,2,1,0,1,3,1,1,0,0,2,1,2,1,2,0,1,0,1,0,0,1,1,3,0,0,1,2,0,1,1,0,2,0,1,1,1,0,0,2,0,1,4,2,1,0,2,3,0,4,0,1,1,2,0,2,1,0,0,0,0,1,0,0,1,0,2,0,0,1,2,0,1,0,1,1,1,1,0,0,2,0,1,3,1,1,2,1,2,1,0,1,1,0,2,2,0,0,0,2,1,1,1,3,2,1,1,1,1,1,1,4,2,0,1,0,1,1,2,0,0,2,0,0,2,1,2
30,2,5,1,0,1,1,1,0,0,2,3,11,2,16,0,1,0,1,0,0,1,1,0,2,1,16,2,1,0,4,1,0,0,2,4,9,4,11,1,7,0,1,1,1,2,0,0,2,3,34,8,19,4,9,3,0,0,3,4,1,1,3,1,14,2,8,18,10,1,0,1,1,3,0,0,4,2,9,4,8,0,2,0,2,0,0,1,1,1,3,4,38,10,4,1,2,2,2,1,1,1,1,1,1,1,13,1,3,1,1,0,1,1,2,0,0,1,2,2,19,0,0,0,1,2,0,0,0,0,0,0,2,0,2,1,0,2,1,1,1,1,1,1,4,0,0,0,13,2,2,2,0,3,1,1,2,0,0,1,0,2,3,2,2,3,1,0,0,1,0,2,0,3,0,1,0,0,2,0,0,0,1,1,0,0,1,0,2,0,2,3,0,0,2,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,2,1,3,0,1,1,0,0,1,0,1,0,1,3,2,1,0,1,1,2,2,1,2,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,2,6,1,3,1,1,2,2,1,0,0,0,0,1,3,0,2,1,0,2,1,0,1,1,2,5,0,1,0,0,2,1,1,0,1,2,0,0,0,2,2,0,2,0,0,2,0,1,0,0,1,0,1,1,1,2,2,1,0,0,1,2,0,1,0,0,0,1,1,2,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,1,1,2,1,1,1,1,0,1,2,0,1,1,0,1,1,1,0,1,1,2,1,2,0,1,0,2,1,0,2,0,1,3,2,0,1,1,1,1,0,1,1,2,0,0,1,2,0,1,1,0,0,0,0,3,1,1,0,1,1,3,0,2,2,0,1,1,2,1,0,2,0,0,1,0,1,1,0,1,1,2,2,2,1,0,1,1,1,0,1,0,1,0,0,1,2,2,0,2,0,1,1,0,0,1,2,1,0,0,1,1,0,0,4,1,0,1
12,2,3,1,0,3,0,2,2,1,0,2,1,4,14,0,3,1,1,0,0,1,3,0,10,1,9,0,2,1,1,1,1,2,2,2,8,2,10,2,3,2,0,2,2,1,1,1,1,0,16,7,12,6,7,6,3,1,1,0,0,2,3,3,11,5,2,16,3,1,0,2,1,2,0,2,3,1,8,2,6,1,0,0,4,1,1,0,0,1,3,1,23,3,1,1,0,0,0,2,0,2,0,1,1,2,6,0,5,1,1,0,0,1,0,0,0,1,0,0,7,0,1,2,2,2,0,1,2,2,0,0,0,2,2,0,1,0,3,1,2,0,1,2,0,2,2,1,5,0,2,1,1,0,2,1,2,1,2,0,1,0,0,2,1,0,2,0,1,2,0,0,1,1,0,0,0,0,1,2,0,0,1,1,1,1,1,0,0,1,1,0,2,2,1,0,1,0,1,0,2,1,0,1,1,2,2,1,0,1,0,1,2,1,0,1,1,0,2,0,0,1,0,0,1,1,0,2,1,1,3,0,1,1,1,1,2,0,1,0,1,1,2,0,1,0,1,0,1,0,1,5,1,1,0,0,1,1,2,0,2,1,0,1,0,0,3,2,1,0,1,1,1,0,1,0,2,0,0,1,0,1,1,2,3,2,1,2,0,0,3,0,2,1,0,1,3,2,1,0,1,0,2,1,1,1,1,2,0,1,0,0,1,3,0,1,2,1,1,2,1,0,1,2,0,1,0,0,0,0,0,1,0,1,2,3,0,0,1,0,0,0,2,0,1,2,1,3,0,0,0,0,1,0,1,1,0,4,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,2,1,0,2,0,0,2,0,1,3,3,1,1,1,3,0,0,1,1,0,1,0,1,2,0,0,0,0,1,3,1,0,1,0,2,2,1,0,2,1,4,0,2,1,0,1,1,1,0,2,2,1,1,0,0,1,0,3,0,0,1,3,0,0,0,0,0,2,1,3,0,5,2,2,3,3,0,2,1,3,1,0,0,0,0,0,3
12,3,5,2,2,0,1,2,1,2,0,1,5,1,9,0,1,1,0,1,0,0,1,0,4,1,2,1,2,3,1,1,1,1,0,1,9,3,2,2,8,0,0,1,0,1,0,2,1,1,17,1,6,1,4,3,2,2,0,0,1,0,1,1,8,1,3,9,3,3,1,0,0,0,1,1,3,2,4,1,5,1,0,1,2,1,2,1,1,0,4,6,15,2,2,0,0,0,1,0,2,0,1,0,1,2,7,0,2,0,0,2,1,0,1,0,0,2,2,0,5,0,0,2,1,3,1,0,1,2,0,0,0,1,1,1,1,2,0,0,1,2,1,2,0,3,0,1,4,1,0,1,1,0,1,0,1,1,4,0,0,1,2,0,2,3,2,0,1,0,1,0,2,4,0,0,0,1,0,1,2,1,1,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,4,1,0,0,1,0,1,1,1,1,1,0,3,0,0,0,2,0,2,0,1,3,2,1,1,0,1,0,0,1,2,0,1,1,1,0,1,2,2,0,1,3,0,1,1,0,0,2,2,0,0,1,1,1,4,1,2,0,0,1,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,2,2,0,3,2,2,0,0,0,1,2,4,1,1,2,0,1,1,2,0,0,1,2,0,2,2,1,0,1,1,1,0,2,0,0,0,1,2,0,1,1,0,1,0,1,0,1,1,0,1,0,4,2,2,0,0,1,0,1,1,1,3,1,2,0,3,3,0,0,2,2,3,0,0,1,0,3,0,2,1,0,0,1,1,0,2,0,2,4,0,1,0,2,0,0,1,1,0,3,0,1,0,2,0,4,3,0,1,1,2,1,2,0,2,2,2,2,1,0,0,2,0,0,1,0,0,2,2,0,0,1,2,1,0,3,0,1,1,1,2,0,3,2,1,1,2,1,1,0,1,1,3,3,2,1,2,0,0,1,1,2,2,2,3,1,1,2,0,0,1,0,1,0,0,0,1,2,1,2,1,2,1,0,0,0,3,1
5,1,2,0,1,1,1,0,1,0,4,0,6,1,0,0,1,0,1,1,1,2,0,1,2,2,2,1,0,1,0,3,1,3,6,1,3,1,6,1,2,1,3,3,0,2,0,0,0,4,9,2,5,1,4,3,3,1,3,1,0,0,1,1,3,1,1,5,1,0,1,2,1,3,3,1,4,1,1,1,3,0,2,3,0,0,0,1,1,0,1,1,11,0,0,1,1,0,1,1,1,2,1,1,1,2,3,1,3,1,1,0,1,1,2,0,1,0,2,3,3,2,2,1,1,0,1,0,0,2,1,1,1,4,1,2,1,1,2,1,3,0,2,1,2,0,2,2,3,0,0,1,1,1,1,3,4,0,1,0,1,1,1,1,0,0,0,2,0,0,1,0,1,3,0,1,2,4,0,1,0,0,1,2,1,1,0,0,2,1,0,1,2,1,1,0,1,2,0,3,0,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,1,0,1,2,0,4,1,0,3,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,3,0,2,1,0,0,1,2,1,1,2,2,2,0,0,2,0,0,2,1,1,4,0,0,1,2,2,0,2,3,2,2,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,3,1,2,0,2,0,0,3,2,1,2,0,1,1,1,0,0,2,0,1,1,0,0,0,1,2,0,1,1,0,0,2,1,0,2,0,0,1,0,1,1,1,0,1,3,0,1,0,0,3,2,2,0,3,0,1,1,2,2,2,0,1,1,1,0,1,1,0,3,0,2,4,0,0,1,2,2,0,1,0,1,1,1,1,2,1,1,1,0,0,1,0,1,5,0,2,1,2,0,0,0,0,0,3,2,1,2,2,0,1,0,1,1,2,1,1,1,1,1,1,0,2,1,1,0,1,1,1,1,0,2,0,0,0,4,2,1,0,0,1,0,1,1,1,2,1,0,2,0,1,1,1,2,1,1,1,0,2,0,0,1,3,1,2,0,1,4,0,0
3,2,2,1,1,1,3,2,1,3,1,1,3,0,4,1,2,1,2,3,2,1,2,0,3,0,2,2,1,1,1,1,1,2,2,2,1,0,1,3,1,0,0,2,2,1,1,1,2,1,4,2,0,0,5,1,2,0,0,2,2,3,0,1,9,2,2,1,0,3,0,0,0,2,2,0,2,0,0,3,1,1,1,3,4,2,1,0,0,2,1,4,3,4,1,0,4,2,0,2,1,3,0,1,1,2,1,1,1,1,0,1,1,2,2,1,2,3,1,1,2,0,1,0,2,1,0,3,3,1,1,2,1,1,4,4,1,0,2,1,0,1,0,0,1,1,2,0,1,0,1,2,0,0,1,3,0,1,0,0,2,0,0,3,1,1,3,0,1,1,1,0,2,2,0,1,1,1,0,0,1,0,1,2,0,1,2,0,1,1,0,2,1,3,1,0,1,1,1,0,1,1,1,1,3,3,1,4,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,0,3,0,0,2,2,0,1,2,1,1,0,0,0,4,0,1,2,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,2,1,2,0,1,0,0,2,1,2,2,0,1,1,2,2,0,0,0,0,1,4,3,0,2,0,1,0,1,1,0,3,1,0,3,1,3,0,1,1,1,2,1,0,0,1,0,2,0,0,1,4,1,2,1,0,1,0,1,0,0,0,1,1,0,2,0,2,1,0,0,0,0,1,0,0,2,1,4,0,0,1,3,2,0,0,0,3,0,0,0,4,2,3,2,0,5,2,0,2,0,1,0,0,2,2,1,2,1,0,0,0,0,2,0,3,1,0,0,3,3,0,2,2,1,1,1,1,3,2,0,4,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,1,0,2,0,2,2,1,1,1,1,1,1,2,3,3,2,1,2,1,1,1,0,0,0,1,0,1,2,0,0,1
2,3,1,1,1,1,0,0,1,2,1,2,4,3,2,1,2,0,4,1,0,0,0,2,1,0,2,1,1,3,0,0,0,3,3,0,7,3,0,3,0,1,1,0,0,4,0,5,2,1,2,1,0,2,1,3,0,2,1,0,2,0,0,0,9,1,2,1,0,0,1,0,2,0,3,1,0,2,2,2,0,0,1,0,0,0,0,3,0,2,1,1,0,1,4,2,2,2,0,0,1,1,1,3,4,3,0,3,0,0,2,1,3,0,1,3,1,0,0,0,1,0,1,2,1,2,1,2,1,0,1,0,1,1,0,1,2,2,0,1,0,2,0,0,1,0,0,2,1,2,1,0,2,1,1,1,0,0,0,2,2,2,0,2,1,0,1,0,1,1,0,0,1,0,0,1,4,2,1,1,1,0,1,3,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,1,1,0,2,2,1,1,0,0,3,0,5,2,2,0,1,0,1,1,0,3,1,2,0,1,0,0,3,0,3,1,1,0,1,1,0,0,0,2,1,0,1,0,1,1,1,0,2,0,2,1,0,1,1,2,1,2,0,0,0,2,0,4,1,0,3,0,0,1,1,3,0,0,1,0,0,0,2,0,0,1,0,2,0,2,1,1,1,0,1,3,1,1,0,0,2,0,3,0,1,1,1,0,2,0,1,0,2,0,4,0,1,2,0,1,0,0,0,1,0,0,1,1,1,1,3,0,0,1,4,1,0,1,2,0,0,3,1,2,2,2,2,0,2,1,1,0,2,1,3,1,3,1,1,1,3,2,3,1,1,1,2,1,1,2,3,0,2,1,3,1,2,0,1,2,2,1,3,0,1,1,0,1,1,0,2,2,1,1,2,2,2,1,0,3,0,1,1,1,0,0,1,1,2,3,0,2,1,0,1,0,0,2,1,1,0,1,3,1,1,1,2,1,1,1,0,0,2,0,1,0,1,2,0,1,0,1,0,2,0,0,1,1,0,1,0,1,2,0,0,1,2,3,0,0,0,1,1,0,1
7,2,2,1,0,1,0,0,1,7,8,2,0,0,8,0,0,2,1,0,1,0,3,1,0,2,3,2,0,16,4,0,0,2,3,4,27,1,6,4,1,1,1,0,1,1,1,1,1,1,2,0,0,1,1,0,1,2,0,3,0,2,0,3,29,2,1,0,2,1,2,0,2,0,0,1,1,1,2,0,1,3,10,1,2,1,0,3,2,0,3,1,2,1,2,2,2,1,0,1,0,2,2,2,0,0,2,2,3,0,0,0,1,1,2,2,0,2,1,2,1,2,0,2,0,0,1,2,0,0,0,2,4,0,1,1,0,3,0,1,1,0,1,1,0,1,2,0,2,1,2,0,0,0,2,1,2,1,2,1,0,0,0,1,3,0,0,0,1,1,0,1,4,4,2,4,1,0,1,1,1,0,0,1,0,3,1,1,1,1,0,0,0,3,0,1,0,0,1,0,1,0,1,0,1,5,0,3,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,2,2,0,1,0,1,0,0,2,0,0,0,1,1,3,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,2,1,0,1,1,0,1,0,0,1,0,0,2,1,0,0,4,2,0,1,1,1,3,2,1,0,0,2,1,0,0,1,2,1,1,1,3,1,1,2,0,3,0,2,0,0,1,1,1,0,0,1,1,2,1,2,1,0,1,0,0,2,0,0,1,1,1,3,1,0,1,0,2,1,1,0,0,4,1,0,1,2,0,1,2,1,1,1,1,1,1,1,2,2,2,0,2,2,0,1,1,5,0,1,1,1,0,1,0,1,1,0,1,1,1,1,3,1,0,1,2,0,0,3,0,1,5,0,1,0,1,0,2,1,0,2,1,0,1,0,1,1,1,2,1,0,1,0,1,1,0,3,1,1,1,2,0,1,1,1,0,1,2,1,1,0,2,2,0,3,0,1,3,1,0,2,2,0,1,0,0,0,0,1,1,0,1,3,3,1,1,0,5,2,0,0,1,1,3,1,1,1,0,2,2,0
12,4,12,2,1,0,3,2,1,8,29,1,1,1,19,3,1,1,1,1,1,2,2,0,0,0,0,0,2,43,3,1,2,3,4,5,68,3,9,1,1,0,2,0,0,1,1,1,0,1,0,2,1,4,2,0,1,0,1,1,2,0,1,2,105,11,1,1,1,2,0,0,1,1,3,1,0,0,0,4,3,6,17,2,0,1,0,0,1,1,1,1,0,0,4,2,1,0,0,1,1,1,0,0,0,1,0,1,0,1,2,2,1,0,2,0,1,0,0,0,1,2,1,3,0,2,1,2,1,1,2,0,1,1,2,1,2,2,1,1,1,1,0,1,3,4,4,1,1,0,1,1,2,2,1,1,1,1,0,1,3,0,1,1,2,2,1,1,1,0,1,1,2,0,3,4,2,1,2,1,1,0,4,0,1,0,3,3,2,1,1,3,0,0,2,1,2,0,0,0,0,1,0,1,1,1,2,1,1,2,4,0,2,1,0,1,1,1,4,0,1,0,0,1,1,2,2,2,1,3,0,2,2,2,0,1,2,3,1,0,2,2,0,0,4,3,0,1,2,0,0,0,3,1,0,2,3,3,1,2,1,2,0,1,1,2,0,0,0,0,0,0,1,0,1,0,2,1,2,4,1,2,0,0,1,0,0,1,1,1,1,3,0,0,0,2,2,0,3,1,0,0,2,0,2,2,0,0,1,0,2,0,0,1,2,0,0,1,0,1,0,0,1,2,1,2,3,2,1,4,0,3,0,3,2,0,2,2,1,3,2,1,2,0,2,1,0,1,2,1,1,2,0,1,2,0,3,0,1,2,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,2,2,0,0,1,0,0,1,0,1,2,2,1,1,0,0,0,2,2,0,0,0,1,1,0,0,4,3,4,0,0,2,1,1,0,0,1,0,1,0,1,0,1,4,2,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,1,1,2,3,0,1,0,3
